Sensor_id,Value,DateTimeFrom,DateTimeTo
714.0,59.2,2020-04-02,2020-04-03
714.0,54.7,2020-04-03,2020-04-04
714.0,38.8,2020-04-10,2020-04-11
714.0,35.4,2020-04-11,2020-04-12
714.0,45.2,2020-04-12,2020-04-13
714.0,46.2,2020-04-13,2020-04-14
714.0,48.4,2020-04-14,2020-04-15
714.0,46.1,2020-04-15,2020-04-16
714.0,47.6,2020-04-16,2020-04-17
714.0,49.6,2020-04-17,2020-04-18
714.0,48.9,2020-04-18,2020-04-19
714.0,38.2,2020-04-19,2020-04-20
714.0,34.4,2020-04-20,2020-04-21
714.0,31.9,2020-04-21,2020-04-22
714.0,34.3,2020-04-22,2020-04-23
714.0,34.9,2020-04-23,2020-04-24
714.0,38.1,2020-04-24,2020-04-25
714.0,39.0,2020-04-26,2020-04-27
714.0,36.6,2020-04-27,2020-04-28
714.0,36.9,2020-04-28,2020-04-29
714.0,78.6,2020-05-09,2020-05-10
714.0,57.0,2020-05-10,2020-05-11
714.0,59.5,2020-05-11,2020-05-12
714.0,52.7,2020-05-12,2020-05-13
714.0,39.0,2020-05-13,2020-05-14
714.0,43.8,2020-05-14,2020-05-15
714.0,45.8,2020-05-15,2020-05-16
714.0,44.3,2020-05-16,2020-05-17
714.0,50.7,2020-05-17,2020-05-18
714.0,49.7,2020-05-18,2020-05-19
714.0,68.3,2020-05-19,2020-05-20
714.0,58.6,2020-06-01,2020-06-02
714.0,22.4,2020-06-02,2020-06-03
Sensor_id,Value,DateTimeFrom,DateTimeTo
713.0,10.7,2020-01-01,2020-01-02
713.0,10.3,2020-01-02,2020-01-03
713.0,9.96,2020-01-03,2020-01-04
713.0,10.1,2020-01-04,2020-01-05
713.0,11.6,2020-01-05,2020-01-06
713.0,11.4,2020-01-06,2020-01-07
713.0,10.7,2020-01-07,2020-01-08
713.0,0.568,2020-01-08,2020-01-09
713.0,1.7,2020-01-09,2020-01-10
713.0,11.4,2020-01-10,2020-01-11
713.0,11.2,2020-01-11,2020-01-12
713.0,10.6,2020-01-12,2020-01-13
713.0,12.4,2020-01-13,2020-01-14
713.0,14.0,2020-01-14,2020-01-15
713.0,12.5,2020-01-15,2020-01-16
713.0,2.23,2020-01-16,2020-01-17
713.0,10.5,2020-01-17,2020-01-18
713.0,2.12,2020-01-18,2020-01-19
713.0,10.1,2020-01-19,2020-01-20
713.0,10.6,2020-01-20,2020-01-21
713.0,11.0,2020-01-21,2020-01-22
713.0,10.9,2020-01-22,2020-01-23
713.0,10.3,2020-01-23,2020-01-24
713.0,10.6,2020-01-24,2020-01-25
713.0,11.0,2020-01-25,2020-01-26
713.0,1.74,2020-01-26,2020-01-27
713.0,10.5,2020-01-27,2020-01-28
713.0,10.2,2020-01-28,2020-01-29
713.0,11.1,2020-01-29,2020-01-30
713.0,12.4,2020-01-30,2020-01-31
713.0,11.4,2020-01-31,2020-02-01
713.0,10.2,2020-02-01,2020-02-02
713.0,11.4,2020-02-02,2020-02-03
713.0,10.0,2020-02-03,2020-02-04
713.0,10.1,2020-02-04,2020-02-05
713.0,1.07,2020-02-05,2020-02-06
713.0,2.29,2020-02-06,2020-02-07
713.0,1.05,2020-02-07,2020-02-08
713.0,63.5,2020-02-08,2020-02-09
713.0,47.8,2020-02-09,2020-02-10
713.0,49.8,2020-02-10,2020-02-11
713.0,49.0,2020-02-11,2020-02-12
713.0,53.5,2020-02-12,2020-02-13
713.0,11.7,2020-02-13,2020-02-14
713.0,18.0,2020-02-14,2020-02-15
713.0,85.8,2020-02-15,2020-02-16
713.0,5.45,2020-02-17,2020-02-18
713.0,10.8,2020-02-18,2020-02-19
713.0,0.479,2020-02-19,2020-02-20
713.0,12.6,2020-02-29,2020-03-01
713.0,9.97,2020-03-01,2020-03-02
713.0,11.2,2020-03-02,2020-03-03
713.0,9.77,2020-03-03,2020-03-04
713.0,9.84,2020-03-04,2020-03-05
713.0,11.0,2020-03-05,2020-03-06
713.0,9.78,2020-03-06,2020-03-07
713.0,10.4,2020-03-07,2020-03-08
713.0,2.11,2020-03-08,2020-03-09
713.0,15.9,2020-03-09,2020-03-10
713.0,10.7,2020-03-10,2020-03-11
713.0,10.9,2020-03-11,2020-03-12
713.0,11.4,2020-03-12,2020-03-13
713.0,11.8,2020-03-13,2020-03-14
713.0,10.7,2020-03-14,2020-03-15
713.0,10.9,2020-03-15,2020-03-16
713.0,11.2,2020-03-16,2020-03-17
713.0,10.5,2020-03-17,2020-03-18
713.0,10.9,2020-03-18,2020-03-19
713.0,10.6,2020-03-19,2020-03-20
713.0,11.3,2020-03-20,2020-03-21
713.0,10.9,2020-03-21,2020-03-22
713.0,10.6,2020-03-22,2020-03-23
713.0,17.5,2020-03-23,2020-03-24
713.0,11.2,2020-03-24,2020-03-25
713.0,10.3,2020-03-25,2020-03-26
713.0,10.3,2020-03-26,2020-03-27
713.0,10.3,2020-03-27,2020-03-28
713.0,10.7,2020-03-28,2020-03-29
713.0,1.47,2020-03-29,2020-03-30
713.0,13.6,2020-03-30,2020-03-31
713.0,11.4,2020-03-31,2020-04-01
713.0,10.0,2020-04-01,2020-04-02
713.0,10.0,2020-04-02,2020-04-03
713.0,2.0,2020-04-03,2020-04-04
713.0,1.56,2020-04-10,2020-04-11
713.0,2.1,2020-04-11,2020-04-12
713.0,1.83,2020-04-12,2020-04-13
713.0,1.59,2020-04-13,2020-04-14
713.0,2.65,2020-04-14,2020-04-15
713.0,4.45,2020-04-15,2020-04-16
713.0,3.74,2020-04-16,2020-04-17
713.0,4.33,2020-04-17,2020-04-18
713.0,4.04,2020-04-18,2020-04-19
713.0,3.37,2020-04-19,2020-04-20
713.0,3.43,2020-04-20,2020-04-21
713.0,3.37,2020-04-21,2020-04-22
713.0,3.49,2020-04-22,2020-04-23
713.0,3.29,2020-04-23,2020-04-24
713.0,3.35,2020-04-24,2020-04-25
713.0,3.5,2020-04-26,2020-04-27
713.0,3.14,2020-04-27,2020-04-28
713.0,3.23,2020-04-28,2020-04-29
713.0,3.57,2020-04-29,2020-04-30
713.0,3.38,2020-04-30,2020-05-01
713.0,3.24,2020-05-01,2020-05-02
713.0,3.71,2020-05-02,2020-05-03
713.0,3.35,2020-05-03,2020-05-04
713.0,3.27,2020-05-04,2020-05-05
713.0,3.27,2020-05-05,2020-05-06
713.0,3.85,2020-05-06,2020-05-07
713.0,3.89,2020-05-07,2020-05-08
713.0,3.53,2020-05-08,2020-05-09
713.0,3.43,2020-05-09,2020-05-10
713.0,3.83,2020-05-10,2020-05-11
713.0,3.3,2020-05-11,2020-05-12
Sensor_id,Value,DateTimeFrom,DateTimeTo
4712.0,2460.0,2020-01-01,2020-01-02
4712.0,2430.0,2020-01-02,2020-01-03
4712.0,2060.0,2020-01-03,2020-01-04
4712.0,2140.0,2020-01-04,2020-01-05
4712.0,2120.0,2020-01-05,2020-01-06
4712.0,2180.0,2020-01-06,2020-01-07
4712.0,976.0,2020-01-07,2020-01-08
4712.0,1570.0,2020-01-09,2020-01-10
4712.0,1440.0,2020-01-10,2020-01-11
4712.0,1860.0,2020-01-11,2020-01-12
4712.0,2140.0,2020-01-12,2020-01-13
4712.0,928.0,2020-01-13,2020-01-14
4712.0,1380.0,2020-01-14,2020-01-15
4712.0,1420.0,2020-01-15,2020-01-16
4712.0,1450.0,2020-01-16,2020-01-17
4712.0,1210.0,2020-01-17,2020-01-18
4712.0,1120.0,2020-01-18,2020-01-19
4712.0,901.0,2020-01-19,2020-01-20
4712.0,1040.0,2020-01-20,2020-01-21
4712.0,1310.0,2020-01-21,2020-01-22
4712.0,1400.0,2020-01-22,2020-01-23
4712.0,1830.0,2020-01-23,2020-01-24
4712.0,2240.0,2020-01-24,2020-01-25
4712.0,1930.0,2020-01-25,2020-01-26
4712.0,2130.0,2020-01-26,2020-01-27
4712.0,2380.0,2020-01-27,2020-01-28
4712.0,1800.0,2020-01-28,2020-01-29
4712.0,1790.0,2020-01-29,2020-01-30
4712.0,1860.0,2020-01-30,2020-01-31
4712.0,2070.0,2020-01-31,2020-02-01
4712.0,-33600.0,2020-02-01,2020-02-02
4712.0,521.0,2020-02-02,2020-02-03
4712.0,840.0,2020-02-03,2020-02-04
4712.0,608.0,2020-02-04,2020-02-05
